Name,Type,Laion Aesthetic Count,Birth-Death
Vincent Van Gogh,Landscape Artist,8376,1853-1890
Claude Monet,Landscape Artist,8033,1840-1926
William-Adolphe Bouguereau,Portrait Artist,6581,1825-1905
Albert Bierstadt,Landscape Artist,6465,1830-1902
John Singer Sargent,Portrait Artist,6325,1856-1925
Pierre-Auguste Renoir,Landscape Artist,4584,1841-1919
John William Waterhouse,Portrait Artist,4311,1849-1917
Winslow Homer,Landscape Artist,4175,1836-1910
Thomas Moran,Landscape Artist,4067,1837-1926
Paul Cézanne,Still Life,4023,1839-1906
Camille Pissarro,Landscape Artist,3984,1830-1903
Thomas Cole,Landscape Artist,3735,1801-1848
Raphael,Traditional Artist,3561,1483-1520
Caspar David Friedrich,Landscape Artist,3289,1774-1840
John Atkinson Grimshaw,Landscape Artist,2798,1836-1893
Paul Gauguin,Portrait Artist,2679,1848-1903
James Tissot,Landscape Artist,2571,1836-1902
Edouard Manet,Portrait Artist,2569,1832-1883
Alphonse Mucha,Portrait Artist,2438,1860-1939
Alfred Sisley,Landscape Artist,2332,1839-1899
Gustave Courbet,Portrait Artist,2067,1819-1877
Jean-Léon Gérôme,Traditional Artist,2013,1824-1904
Carl Larsson,Portrait Artist,1966,1853-1919
Mary Cassatt,Portrait Artist,1857,1844-1926
Sandro Botticelli,Traditional Artist,1822,1445-1510
Daniel Ridgway Knight,Landscape Artist,1821,1839-1924
Joaquín Sorolla,Portrait Artist,1816,1863-1923
Gustav Klimt,Traditional Artist,1689,1862-1918
Dante Gabriel Rossetti,Portrait Artist,1678,1828-1882
Tom Thomson,Landscape Artist,1672,1877-1917
Edgar Degas,Traditional Artist,1636,1834-1917
Utagawa Hiroshige,Landscape Artist,1625,1797-1858
Camille Corot,Landscape Artist,1612,1796-1875
Ivan Aivazovsky,Landscape Artist,1572,1817-1900
Peter Paul Rubens,Traditional Artist,1547,1577-1640
Henri Rousseau,Landscape Artist,1538,1844-1910
Edward Burne-Jones,Portrait Artist,1528,1833-1898
Anders Zorn,Portrait Artist,1449,1860-1920
Jean Auguste Dominique Ingres,Traditional Artist,1449,1780-1867
Franz Xaver Winterhalter,Portrait Artist,1444,1805-1873
Katsushika Hokusai,Landscape Artist,1444,1760-1849
John Constable,Landscape Artist,1441,1776-1837
Canaletto,Landscape Artist,1423,1697-1768
George Inness,Landscape Artist,1403,1825-1894
Anthony van Dyck,Portrait Artist,1391,1599-1641
Titian,Traditional Artist,1303,1506-1576
Martin Johnson Heade,Traditional Artist,1298,1819-1904
William Morris,Illustrator,1271,1834-1896
Berthe Morisot,,1233,1841-1895
William Holman Hunt,Portrait Artist,1212,1827-1910
Edvard Munch,Traditional Artist,1201,1863-1944
Joseph Mallord William Turner,Landscape Artist,1200,1775-1851
Gustave Doré,Traditional Artist,1192,1832-1883
Thomas Eakins,Portrait Artist,1152,1844-1916
Ilya Repin,Landscape Artist,1103,1844-1930
Amedeo Modigliani,Portrait Artist,1100,1884-1920
Johannes Vermeer,Portrait Artist,1062,1632-1675
Ivan Shishkin,Landscape Artist,1053,1832-1898
Rembrandt Van Rijn,Traditional Artist,1024,1606-1669
Nicholas Roerich,Concept Artist,982,1874-1947
Thomas Gainsborough,Portrait Artist,970,1727-1788
